s,r,a,sp
4,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
3,-7,0,3
18,-12,1,18
18,-12,2,52
4,-7,0,4
4,-7,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
3,-7,0,3
19,-12,1,19
19,-12,1,29
29,-17,0,29
29,53,1,39
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
6,-7,0,6
18,-12,0,18
18,-12,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
4,-7,0,4
4,-7,2,52
4,-7,0,4
4,-7,2,52
3,-7,0,3
19,-7,1,19
19,-7,1,29
29,-12,0,29
29,-12,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
2,-7,0,2
2,-7,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
3,-7,0,3
19,-7,1,19
19,-7,1,29
29,-12,0,29
29,33,1,39
4,-7,0,4
4,-7,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,43,1,38
2,-7,0,2
2,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-17,1,38
38,-17,1,48
38,-17,1,48
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
0,-7,0,0
0,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
37,-22,0,37
37,-22,1,47
37,-22,1,47
7,-7,0,7
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
34,-17,1,34
34,-17,2,52
7,-7,0,7
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,43,1,39
5,-7,0,5
5,-7,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
7,-7,0,7
18,-12,0,18
18,-12,2,52
3,-7,0,3
18,-12,1,18
18,-12,2,52
4,-7,0,4
4,-7,2,52
7,-7,0,7
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
7,-7,0,7
18,-12,0,18
18,-12,2,52
8,-7,0,8
18,-7,1,18
18,-7,2,52
7,-7,0,7
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
8,-7,0,8
18,-7,1,18
18,-7,2,52
4,-7,0,4
4,-7,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
37,-22,0,37
37,-22,1,47
37,78,1,47
5,-7,0,5
5,-7,2,52
6,-7,0,6
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
2,-7,0,2
2,-7,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,68,1,49
0,-7,0,0
0,-7,2,52
2,-7,0,2
2,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
16,-12,0,16
16,-12,2,52
3,-7,0,3
15,-12,1,15
15,-12,1,25
25,-17,0,25
25,-17,1,35
35,-22,1,35
35,-22,1,45
35,88,1,45
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,58,1,49
9,-7,0,9
18,-12,0,18
18,-12,2,52
5,-7,0,5
5,-7,2,52
7,-7,0,7
18,-12,0,18
18,-12,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
7,-7,0,7
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
3,-7,0,3
18,-12,1,18
18,-12,2,52
3,-7,0,3
18,-12,1,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
3,-7,0,3
19,-7,1,19
19,-7,1,29
29,-12,0,29
29,-12,1,39
38,-12,1,38
38,-12,1,48
38,43,1,48
2,-7,0,2
2,-7,2,52
2,-7,0,2
2,-7,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
0,-7,0,0
0,-7,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
7,-7,0,7
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
35,-17,1,35
35,-17,1,45
35,48,1,45
5,-7,0,5
5,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
6,-7,0,6
18,-12,0,18
18,-12,2,52
5,-7,0,5
5,-7,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
